track_id,song_name,artist_name,genre,energy,danceability,valence,tempo,acousticness,loudness,instrumentalness,duration_sec,duration_display,popularity,explicit,key_signature
trk_00000,Yeh Parwaaz Ke Paar,Nucleya,Rock,0.8368961593001004,0.2964759759374495,0.6378548328799687,138.80069000322163,0.0,-4.609739315044393,0.1098382521944133,249,4:09,76,No,C
trk_00001,Woh Parwaaz Ki Roshni,Yuvan Shankar Raja,R&B,0.5930840244333748,0.7043307664128367,0.458757398247466,105.49209476526303,0.1606731356596922,-9.757014514596458,0.3207673890261348,228,3:48,84,No,E
trk_00002,Yeh Rangeen Ki Chaahat,Atif Aslam,Electronic,0.7581079880751453,0.671822673701516,0.7951823366039619,101.18705013434798,0.0911068154452436,-6.38521546262855,0.3551714458198099,190,3:10,40,No,G
trk_00003,Mera Sapno Ka Safar,Shreya Ghoshal,Jazz,0.3365394964706643,0.5495752236681356,0.5167721392244347,109.74610953615512,0.5861572097042466,-12.032239535150408,0.6660179002640114,223,3:43,59,Yes,A
trk_00004,Woh Manzil Ke Sang,Vishal-Shekhar,Pop,0.7176643787713791,0.7547603551814351,0.5232989946350789,117.10304373192474,0.2446731399631349,-5.991060872385703,0.4089127212955698,162,2:42,27,No,D
trk_00005,Tera Ranjha Waala Mausam,Divine,Pop,0.7006537183635984,0.705501667862614,0.7330612674817903,110.01454684393818,0.2949584099307897,-4.463111406962347,0.2612594652614508,214,3:34,69,No,D
trk_00006,Yeh Nazar Ki Baarish,Neha Kakkar,Pop,0.9185648301419164,0.7039704555806153,0.9078658302982776,128.75082821035963,0.3394847302383353,-5.636057872999248,0.4522346379630385,190,3:10,48,Yes,A
trk_00007,Woh Dil Ke Paar,Kailash Kher,Country,0.4188778989824885,0.6698444952831687,0.5912360630566028,135.9404901562095,0.3359518959431173,-8.139428261572466,0.3474870095035812,250,4:10,44,No,F
trk_00008,Woh Manzil Ke Rastey,Alka Yagnik,Jazz,0.7104867428466722,0.4847402636642329,0.8612285804630635,114.12218402243934,0.5933719268155286,-11.559747773319796,0.3275989226073802,165,2:45,19,No,G
trk_00009,Yeh Tanha Ke Paar,Divine,Electronic,0.8749302417397503,0.6482712050043922,0.798838616364573,110.59581328110964,0.0,-3.833532624431483,0.0103413985503723,203,3:23,33,No,B
trk_00010,Tera Mausam Ke Sang,Pritam,Pop,0.6814262413211656,0.7775524877468531,0.5409908234876744,128.73052159003126,0.2337607339714651,-5.442893349061534,0.2743134571568043,183,3:03,34,No,A
trk_00011,Woh Noor Waala Pal,Ritviz,R&B,0.4908696784907969,0.4847814778596556,0.3935602327124559,94.24140419078992,0.4251800230247349,-9.889879949559734,0.1892246947806997,262,4:22,53,No,F
trk_00012,Tera Silsila Ki Chaahat,Divine,Electronic,0.9584003605563696,0.9507791694996068,0.5614052236744844,121.48994969870073,0.0619341808275948,-6.716520218841311,0.2146379685884904,270,4:30,65,No,D
trk_00013,Yeh Roshni Ke Rastey,Vishal-Shekhar,Pop,0.5955535506393532,0.8003429082601877,0.4454132870333419,120.92993527451956,0.0647549020107979,-4.86229133812899,0.2619478272032789,185,3:05,59,No,B
trk_00014,Woh Bekhayali Ki Raahein,Mohit Chauhan,Pop,0.8305192674780948,0.6281027477463874,0.6938045833249277,119.96582073487738,0.1647016907698433,-4.749845570605223,0.1846924103638083,232,3:52,52,No,G
trk_00015,Tera Silsila Ka Rang,A.R. Rahman,Pop,0.6509973763693738,0.7059992609004597,0.5063837607677917,127.31009464327856,0.1232393994914602,-4.69071352695601,0.2004653204246877,206,3:26,65,No,G
trk_00016,Yeh Yaadein Waali Shaam,Papon,Rock,0.9789756528375374,0.4738600075044877,0.5644599950547161,117.71325666870916,0.0,-6.465611073382087,0.0792671951348379,165,2:45,37,Yes,E
trk_00017,Tera Bekhayali Ki Chaahat,Atif Aslam,Hip-Hop,0.8089664865016462,0.9533978120849568,0.2301085126332873,88.17007669648878,0.0847313697817938,-4.31082446097693,0.1986685449827545,261,4:21,13,No,B
trk_00018,Mera Mausam Ka Nasha,Papon,Hip-Hop,0.7594754341665285,0.8853415558780309,0.5910714307744118,97.81191423969376,0.08833608831615,-6.093889691849284,0.1756191969893639,175,2:55,27,No,E
trk_00019,Yeh Dil Ke Geet,Atif Aslam,Rock,0.9418316606002312,0.3429499396376823,0.4312446236115596,137.40771187988216,0.0214010085169352,-4.336949724995537,0.4636368366653904,189,3:09,56,No,D
trk_00020,Woh Junoon Ki Roshni,Jonita Gandhi,Jazz,0.3177378584510899,0.4349658077419096,0.4946044491692247,121.52332608741504,0.5198585377148276,-10.897292947206996,0.5746247198226706,194,3:14,28,No,C
trk_00021,Yeh Khwaab Ki Baarish,A.R. Rahman,Pop,0.6642725580258274,0.6441700395040872,0.7831239191193055,122.5754263619808,0.2323070636330249,-4.145309282144345,0.1546147594105938,228,3:48,42,No,G
trk_00022,Tera Junoon Ka Safar,Guru Randhawa,Rock,0.7952509643001189,0.4062220166130089,0.4659581431050456,121.5700177651912,0.0,-2.870946777141059,0.1734652746146214,269,4:29,68,No,G
trk_00023,Woh Junoon Ki Dastak,Dhvani Bhanushali,Rock,0.9542608835636488,0.4480146608451246,0.3521101199278933,138.4573513254034,0.1135299240079272,-3.62264337275152,0.5541022504789822,160,2:40,25,No,G
trk_00024,Woh Dil Ki Chaahat,Shreya Ghoshal,Hip-Hop,0.6479086180663315,0.820542859627147,0.3385557857317401,103.24014830598352,0.2151709598155757,-4.694135676278638,0.3979185204231862,158,2:38,23,No,B
trk_00025,Yeh Noor Ka Rang,Shankar Mahadevan,Electronic,0.8868443510740995,0.5403971013516924,0.757345227647088,132.94406318945371,0.0238530965550292,-7.78464231259815,0.4878145492815627,209,3:29,57,No,B
trk_00026,Yeh Dooriyan Ka Nasha,Yuvan Shankar Raja,Pop,0.836531690202038,0.8264096078496275,0.7927728648034285,106.44820248859568,0.1310735719416687,-5.594590752571707,0.2955412130711737,200,3:20,41,No,C
trk_00027,Mera Roshni Ke Rastey,KK,Hip-Hop,0.5779682622784224,0.7281318074556721,0.6572087713325423,95.39163904361858,0.0954664533562186,-6.144409962303145,0.2063990960373789,122,2:02,50,No,G
trk_00028,Yeh Yaadein Ka Junoon,Palak Muchhal,Jazz,0.4373058935320636,0.6501945966802973,0.4656324522398627,114.33967422465048,0.6462493677979114,-11.783603201340538,0.2453902302226827,214,3:34,64,No,C
trk_00029,Mera Safar Waale,Jonita Gandhi,Pop,0.6476580689649354,0.7801722512682898,0.7344300914406787,116.84377885042544,0.1908223208425656,-3.5032809226039587,0.3668732315454669,218,3:38,30,No,F
trk_00030,Woh Sapno Waala Mausam,Kailash Kher,Jazz,0.4725766823163033,0.4041043114175426,0.351228056179462,122.5643634234519,0.6915190335361731,-14.023399154994646,0.2300128381386854,158,2:38,67,No,C
trk_00031,Yeh Rangeen Ke Geet,Palak Muchhal,Pop,0.6730231122119124,0.693954490172006,0.8124709707476726,133.21330161332165,0.0480505002896497,-4.060885361738274,0.2116463425996554,226,3:46,64,No,B
trk_00032,Mera Ranjha Ka Nasha,Palak Muchhal,Pop,0.632988697394064,0.569801956241998,0.7649755273845745,125.59155160302647,0.1038791679418624,-8.886563438217365,0.1595183596132539,209,3:29,61,Yes,F
trk_00033,Mera Mausam Ki Dastak,Badshah,R&B,0.6696571501664492,0.6641470426973031,0.4967234552588082,80.66732040926804,0.2145374199046791,-9.327204071040352,0.1335648317601633,261,4:21,45,No,C
trk_00034,Yeh Zindagi Ki Dastak,Guru Randhawa,R&B,0.5965045461015183,0.6966652828563514,0.5390212155834877,88.3327596691316,0.3147143360377038,-9.065678824752428,0.1684214176922749,223,3:43,44,No,G
trk_00035,Mera Rangeen Ki Dastak,Shaan,Electronic,0.7395660928436689,0.7124182604181787,0.7311682303935853,131.75369627192376,0.0,-5.721348761869843,0.3007179313226396,189,3:09,73,No,G
trk_00036,Woh Aasman Ke Geet,Shankar Mahadevan,Rock,0.7702040522258555,0.485526934871428,0.6638209844460005,128.34852876391767,0.0453124959868061,-2.935699634038938,0.2417496257853142,199,3:19,63,Yes,E
trk_00037,Mera Rangeen Ki Roshni,AP Dhillon,Pop,0.7463223694304552,0.6484786596854785,0.704918414773113,126.29473929231466,0.0641096795198308,-4.453589891293342,0.136558100968218,171,2:51,42,No,F
trk_00038,Tera Yaadein Mein Tu,KK,Classical,0.2454119218019081,0.5042984525351256,0.2545051265380927,101.3548501636277,0.8720017498276467,-15.1757878112519,0.4953949228766782,223,3:43,81,Yes,E
trk_00039,Yeh Junoon Ki Chaahat,Mohit Chauhan,Hip-Hop,0.6171537231032271,0.8909340018105376,0.7075869385423803,98.00192162600194,0.1057992572538253,-7.023495944786241,0.1072369927630003,238,3:58,67,No,A
trk_00040,Mera Noor Ka Junoon,Shaan,Pop,0.8501952267791767,0.7705026687061879,0.5568214424681519,115.671065867629,0.2561447536033592,-4.629460034592331,0.3115788808666417,222,3:42,66,No,G
trk_00041,Woh Roshni Ki Raahein,Dhvani Bhanushali,Hip-Hop,0.8544526003678093,0.8945193727013594,0.5823879207381875,72.86772651973169,0.1757515961441932,-5.875379228576924,0.2806721217173955,237,3:57,72,No,B
trk_00042,Yeh Safar Mein Tu,Sonu Nigam,Pop,0.6682814533391005,0.5405879372336223,0.770686833688704,121.38720502869636,0.0140920640157083,-2.81420636006563,0.6038051622597618,251,4:11,38,Yes,B
trk_00043,Yeh Saathiya Ke Rastey,Sunidhi Chauhan,Country,0.7714251523462277,0.5203982772670103,0.6651738827388155,98.12062612536172,0.4989052477789115,-4.170078030865884,0.4041294196826503,210,3:30,76,Yes,A
trk_00044,Mera Junoon Waale,Vishal-Shekhar,Rock,0.9615902053365362,0.4350734421924075,0.663739096340466,134.82034450043926,0.0,-2.7985950405558064,0.2802546899264195,227,3:47,22,No,E
trk_00045,Woh Yaadein Ka Safar,Kavita Seth,Classical,0.4361805783669631,0.1923309830774869,0.3580465375866636,92.6166297269648,0.9917927464153286,-16.456335821757722,0.6994711434186852,161,2:41,26,Yes,C
trk_00046,Woh Bekhayali Waale,Shankar Mahadevan,Rock,0.7972223135754061,0.5771438991915824,0.3224842190431253,129.70298362162393,0.1826371157722244,-4.292417812643437,0.1808951111001436,171,2:51,48,Yes,B
